kota_administrasi,kecamatan,kelurahan,rw,jumlah_terdampak_rw,jumlah_terdampak_rt,jumlah_terdampak_kk,jumlah_terdampak_jiwa,rata_rata_ketinggian_air,tanggal_kejadian,frekuensi_kejadian,lama_genangan,jumlah_meninggal,jumlah_hilang,jumlah_luka_berat,jumlah_luka_ringan,jumlah_pengungsi_tertinggi,jumlah_tempat_pengungsian,nilai_kerugian
Jakarta Selatan,PASAR MINGGU,RAGUNAN,"rw 04, 09",2,2,0,0,35,"23, 25  februari",2,0,0,0,0,0,0,0,0
Jakarta Selatan,PASAR MINGGU,PASAR MINGGU,rw 05,1,1,0,0,15,25 februari,1,0,0,0,0,0,0,0,0
Jakarta Selatan,PESANGGRAHAN,BINTARO,"rw 05, ",1,1,0,0,20,"20, 25 februari",2,0,0,0,0,0,0,0,0
Jakarta Selatan,PESANGGRAHAN,PETUKANGAN SELATAN,"rw 01, 06",2,4,0,0,20,25 februari,1,0,0,0,0,0,0,0,0
Jakarta Selatan,SETIABUDI,GUNTUR,rw 06,1,1,,0,40,23 februari,1,0,0,0,0,0,0,0,0
Jakarta Selatan,SETIABUDI,KARET SEMANGGI,rw 04,1,1,0,0,45,"22, 23, 25  februari",3,0,0,0,0,0,0,0,0
Jakarta Selatan,SETIABUDI,PASAR MANGGIS,rw 05,1,1,0,0,40,23 februari,1,0,0,0,0,0,0,0,0
Jakarta Selatan,SETIABUDI,KARET,"rw 02, 07",2,2,0,0,25,23 februari,1,0,0,0,0,0,0,0,0
Jakarta Selatan,SETIABUDI,MENTENG ATAS,rw 07,1,1,0,0,20,23 februari,1,0,0,0,0,0,0,0,0
Jakarta Selatan,TEBET,MANGGARAI,"rw 01, 04, 05, 09, 10, 11",6,9,4,15,45,"8, 20 , 23,24 februari",4,0,0,0,0,15,1,0,0
Jakarta Selatan,TEBET,MANGGARAI SELATAN,"rw 02, 05",2,2,0,0,25,23 februari,1,0,0,0,0,0,0,0,0
Jakarta Selatan,TEBET,BUKIT DURI,"rw 06, 08, 11, 12",4,4,0,0,55,"8,25 februari",2,0,0,0,0,0,0,0,0
Jakarta Selatan,TEBET,KEBON BARU,"rw 01, 02, 04, 05, 06, 08, 10, 12 ",8,8,105,420,75,"8, 20, 23, 24, 25  februari",5,0,0,0,0,420,1,0,0
Jakarta Selatan,TEBET,MENTENG DALAM,"rw 01, 08, 10, 11, ",4,6,0,0,70,23 februari,1,0,0,0,0,0,0,0,0
Jakarta Timur,CAKUNG,CAKUNG BARAT,"rw 03, 06,07,  08, 09",5,11,24,98,55,"8, 23 februari",2,0,0,0,0,98,3,0,0
Jakarta Timur,CAKUNG,CAKUNG TIMUR,"rw 05,06, 07, 08, 09, 10, 12",7,23,275,630,53,"22, 23, 24, 27  februari",4,0,0,0,0,193,5,0,0
Jakarta Timur,CAKUNG,PENGGILINGAN,"rw 03, 05, 08",3,5,0,0,30,"8, 16, 23, 25 februari",4,0,0,0,0,0,0,0,0
Jakarta Timur,CAKUNG,RAWA TERATE,"rw 04, 05, 06",3,13,641,2564,160,"1,2,3,8, 20, 22,23, 25 februari",8,0,0,0,0,471,3,0,0
Jakarta Timur,CAKUNG,JATINEGARA,"rw 02, 06, 08, 09, 11",5,6,0,0,35,"16,23, 25 februari",3,0,0,0,0,0,0,0,0
Jakarta Timur,CAKUNG,PULO GEBANG,"rw 05, 08, 10, 14, 15 16",6,7,0,0,50,"16,23, 25 februari",3,0,0,0,0,0,0,0,0
